,close
616,-1.9754899426962442
617,-1.9754899426962442
618,-1.9754899426962442
619,-1.957810325924123
620,-1.957810325924123
621,-1.9707753782236785
622,-1.9707753782236785
623,-1.9754899426962442
624,-1.9754899426962442
625,-1.9754899426962442
626,-1.9754899426962442
627,-1.9754899426962442
628,-1.9754899426962442
629,-1.9707753782236785
630,-1.9625248903966888
631,-1.9625248903966888
632,-1.9625248903966888
633,-1.966650134310184
634,-1.966650134310184
635,-1.9625248903966888
636,-1.9625248903966888
637,-1.9625248903966888
638,-1.957810325924123
639,-1.957810325924123
640,-1.9707753782236785
641,-1.966650134310184
642,-1.9707753782236785
643,-1.9754899426962442
644,-1.9754899426962442
645,-1.9754899426962442
646,-1.9707753782236785
647,-1.966650134310184
648,-1.957810325924123
649,-1.966650134310184
650,-1.966650134310184
651,-1.9707753782236785
652,-1.9707753782236785
653,-1.9707753782236785
654,-1.9754899426962442
655,-1.9754899426962442
656,-1.9754899426962442
657,-1.9796151866097396
658,-1.9754899426962442
659,-1.9754899426962442
660,-1.9754899426962442
661,-1.9754899426962442
662,-1.9754899426962442
663,-1.9796151866097396
664,-1.9754899426962442
665,-1.9754899426962442
666,-1.9796151866097396
667,-1.9796151866097396
668,-1.9754899426962442
669,-1.9796151866097396
670,-1.9796151866097396
671,-1.983740430523234
672,-1.983740430523234
673,-1.983740430523234
674,-1.983740430523234
675,-1.983740430523234
676,-1.983740430523234
677,-1.983740430523234
678,-1.983740430523234
679,-1.983740430523234
680,-1.983740430523234
681,-1.9796151866097396
682,-1.9796151866097396
683,-1.9796151866097396
684,-1.9796151866097396
685,-1.9796151866097396
686,-1.9796151866097396
687,-1.9796151866097396
688,-1.9796151866097396
689,-1.9754899426962442
690,-1.9754899426962442
691,-1.9754899426962442
692,-1.9754899426962442
693,-1.9754899426962442
694,-1.9754899426962442
695,-1.9754899426962442
696,-1.9707753782236785
697,-1.9707753782236785
698,-1.9707753782236785
699,-1.9707753782236785
700,-1.9707753782236785
701,-1.9754899426962442
702,-1.9754899426962442
703,-1.9796151866097396
704,-1.9796151866097396
705,-1.9796151866097396
706,-1.9796151866097396
707,-1.983740430523234
708,-1.9884549949957995
709,-1.9884549949957995
710,-1.992580238909295
711,-1.9884549949957995
712,-1.9884549949957995
713,-2.001420047295355
714,-1.9967054828227895
715,-1.9967054828227895
716,-1.9967054828227895
717,-1.9967054828227895
718,-1.9967054828227895
719,-1.9967054828227895
720,-1.992580238909295
721,-1.992580238909295
722,-1.992580238909295
723,-1.9967054828227895
724,-1.9967054828227895
725,-1.9967054828227895
726,-1.992580238909295
727,-1.9967054828227895
728,-1.9967054828227895
729,-1.9967054828227895
730,-1.992580238909295
731,-1.9967054828227895
